epoch,train_loss,train_acc,train_f1,train_fr,val_loss,val_acc,val_f1,val_fr
1,4.680893770853678,0.011578525641025642,0.01123688377965783,0.9999546589616031,4.654568813323975,0.0152,0.014595264098178391,0.0
2,4.586895975699791,0.022275641025641026,0.021512845849917812,0.9999542754496407,4.519264861297607,0.0354,0.03315904940954546,0.0
3,4.412077714235354,0.05318509615384615,0.045724996287570034,0.9999542962142235,4.258011926269531,0.0819,0.0652133860598813,0.0
4,4.10144557830615,0.09737580128205128,0.07906563998937322,0.9999542314718132,3.8714683441162108,0.133,0.10986274049501471,0.0
5,3.7523081693893823,0.1453125,0.12289246303066523,0.9999556374580745,3.505051344680786,0.1877,0.16272551826410106,0.0
6,3.4272337179917556,0.1944911858974359,0.17283470140106352,0.9999581506081815,3.172448622894287,0.2419,0.21882167619741813,0.0
7,3.191279194293878,0.2322315705128205,0.21345034379011804,0.9999597760350168,2.9082944637298582,0.2837,0.2608086462721136,0.0
8,2.9973223563952325,0.2628605769230769,0.24658051602130002,0.9999607756178622,2.7154448013305665,0.3143,0.2948553937936385,0.0
9,2.8414043701612033,0.2918870192307692,0.27697345778608384,0.9999614719977289,2.56665152053833,0.3451,0.3276439725269814,0.0
10,2.719429935553135,0.31095753205128207,0.29807846977045793,0.9999619923156422,2.4532686393737793,0.3631,0.34611352808535223,0.0
11,2.6162904733266585,0.3333934294871795,0.3205382215814689,0.9999623901057669,2.3538042423248293,0.3838,0.3674062376130482,0.0
12,2.526866133396442,0.35138221153846155,0.3402285309621,0.9999627445824301,2.281648669052124,0.4013,0.38702185926461224,0.0
13,2.4371682753929726,0.36860977564102565,0.357544824321522,0.9999630297119676,2.211305265045166,0.4153,0.4009272550999022,0.0
14,2.3739977011313806,0.38221153846153844,0.3725062119807244,0.9999632276517819,2.1455072765350343,0.429,0.41505252875923804,0.0
15,2.3094970745918078,0.3959935897435897,0.38660231355330205,0.9999634496741436,2.1008579399108886,0.442,0.42902827316862985,0.0
16,2.251203704797305,0.40667067307692306,0.39789120897007174,0.9999636572993961,2.045384665107727,0.4554,0.443625562636457,0.0
17,2.1967505782078476,0.4195713141025641,0.41117896776947693,0.9999637947764415,2.006905115699768,0.4629,0.4516105804023827,0.0
18,2.13939883403289,0.4323116987179487,0.42418461638058913,0.9999639040475666,1.9740603368759155,0.4703,0.4596083965140088,0.0
19,2.0958426573337654,0.44052483974358975,0.4328572123251974,0.9999640635616546,1.9420086269378662,0.4765,0.466675989003803,0.0
20,2.0502901551051016,0.4516826923076923,0.4445915574862911,0.9999642151267004,1.910033673095703,0.4833,0.47368022329955667,0.0
21,2.01378146257156,0.4599158653846154,0.4530867521815092,0.9999642975352838,1.8887163068771362,0.489,0.4791272368498833,0.0
22,1.9760493379372817,0.4682892628205128,0.46167121387884613,0.9999643867470277,1.8671093215942383,0.4938,0.48402810903047155,0.0
23,1.9445138057072957,0.47704326923076923,0.47094659145177237,0.9999645002624086,1.8425667057037354,0.498,0.48931537143408865,0.0
24,1.9114164058978742,0.48373397435897436,0.4779888885085824,0.9999646256869678,1.8278772583007812,0.5009,0.4910224546748567,0.0
25,1.8768660658445113,0.4906650641025641,0.4844454222677296,0.9999646835959735,1.8058580492019654,0.5102,0.5015759631574062,0.0
26,1.850425587556301,0.4969350961538462,0.4914506673551004,0.9999648219824528,1.7915939908981324,0.5106,0.5020669772791896,0.0
27,1.8166335188425504,0.5036658653846153,0.4982093334649422,0.9999648563993002,1.772481871986389,0.5178,0.5107289133377695,0.0
28,1.7929372839438609,0.5089743589743589,0.5039531055003099,0.9999648990220411,1.7645930076599121,0.5169,0.5097561459911781,0.0
29,1.7616094690102797,0.5173076923076924,0.5120303876040515,0.9999650059343729,1.748773518371582,0.5206,0.513112928939082,0.0
30,1.7415743785026745,0.5224559294871794,0.5174802086060564,0.9999650764001592,1.73723161945343,0.5243,0.5167653775828662,0.0
31,1.7122335287240835,0.529667467948718,0.5247946315048027,0.9999651440986632,1.7265116775512694,0.526,0.5193914716628975,0.0
32,1.6931857243562356,0.5333934294871795,0.5288254882373485,0.9999652367953544,1.716445645904541,0.5305,0.5232043459458824,0.0
33,1.665580143378331,0.5415264423076923,0.5369111935200559,0.9999652742166084,1.7135444974899292,0.5319,0.5248199449742379,0.0
34,1.6456990226721153,0.5469150641025641,0.5424640118069753,0.9999653028539794,1.6979176698684693,0.5355,0.5286348467244903,0.0
35,1.6224304391787603,0.5511017628205128,0.5470029088652489,0.9999653708232025,1.6873084045410156,0.5359,0.5288880719734376,0.0
36,1.6010992563687838,0.5577123397435897,0.5534694232229677,0.9999654033028472,1.677238363456726,0.5382,0.5315740926418325,0.0
