epoch,train_loss,train_acc,train_f1,train_fr,val_loss,val_acc,val_f1,val_fr
1,2.272496024156228,0.14883814102564102,0.14765069123032576,0.962976952888104,2.1468452434539795,0.2415,0.23430403236268513,0.0
2,1.7904216509598951,0.3730769230769231,0.37163107731227385,0.9775025867290813,1.221578405570984,0.5739,0.5692928766001495,0.0
3,1.2166473186933078,0.5785657051282052,0.5789597748720074,0.9968159319520392,0.8701324325561524,0.6987,0.6964179021680172,0.0
4,0.9573785514403612,0.6686298076923077,0.6682293519015584,0.9997237481725065,0.6959569709777832,0.7603,0.7582913149295132,0.0
5,0.8346305889961046,0.7130608974358974,0.7125608139443147,0.9999052051165461,0.7300563959121704,0.7557,0.7565423006001629,0.0
6,0.7423887019738172,0.7421073717948717,0.7417652873638626,0.9999631625418339,0.6387605564117431,0.7876,0.7870397231195219,0.0
7,0.6732352736668709,0.7649839743589744,0.7647403925966272,0.999963962416905,0.5786003234863282,0.8001,0.7993136141086167,0.0
8,0.615009872500713,0.7858974358974359,0.785593218718856,0.99996446473216,0.5625251794338226,0.8238,0.822876679506941,0.0
9,0.5821673253407845,0.7966947115384615,0.796471579768821,0.999964843217197,0.5968342150688172,0.8215,0.8213858285946897,0.0
10,0.550670200586319,0.80859375,0.8083018108170087,0.9999649157154517,0.5540653350830078,0.824,0.8246024739865712,0.0
11,0.5233521553950432,0.8161658653846153,0.8159042764824527,0.9999650567882712,0.6683075095176697,0.828,0.8288234422190162,0.0
12,0.4919655141540063,0.8296073717948718,0.8294184929399092,0.9999654600511493,0.695830479812622,0.8172,0.8194263934509664,0.0
13,0.4662395633948155,0.8362580128205128,0.8361131229463947,0.9999655172085954,0.600589739894867,0.8426,0.8430672779684005,0.0
14,0.4483080055469122,0.8439102564102564,0.8437571280999066,0.9999656573714264,1.0802196968078612,0.8122,0.8163209154411994,0.0
15,0.4303244819243749,0.8490985576923077,0.8489305460755292,0.9999657093350064,0.4387420385360718,0.8551,0.8552241223452463,0.0
16,0.414184106198641,0.8559695512820513,0.8558820969425881,0.9999659775500132,0.5762852592468262,0.8428,0.843389557316369,0.0
17,0.3978045642758027,0.86015625,0.8601129399501628,0.9999659761650538,0.5280217910766601,0.8511,0.8518298246420584,0.0
18,0.3777282196359757,0.8669070512820513,0.866808295693087,0.9999661390589669,0.6992230186462403,0.841,0.8415392737007602,0.0
19,0.3609393382301697,0.8743589743589744,0.8742489815591512,0.9999661417333305,0.4933663964271545,0.8467,0.8469174440160018,0.0
20,0.3532562158810787,0.8749399038461538,0.8748962541988463,0.9999661477073711,0.5024888685226441,0.8611,0.8611152346774121,0.0
21,0.3365922733759269,0.8825520833333333,0.8824647804706472,0.9999661101640044,0.4936955061912537,0.8523,0.8525625198849653,0.0
22,0.32693106463322275,0.8843149038461539,0.8842548442811099,0.9999663663961351,0.5356236035346985,0.8484,0.8494264313431847,0.0
23,0.31709880916736066,0.8896233974358975,0.8895905420633017,0.9999662726160695,0.4688013337135315,0.857,0.857575559227455,0.0
24,0.30628590522668303,0.8925080128205128,0.8924834451002714,0.9999660575288546,0.6344910416603088,0.8458,0.846951450277972,0.0
25,0.2938505913202579,0.8962139423076924,0.8961570309455105,0.9999664488456791,0.4469918873786926,0.8614,0.861302802871303,0.0
26,0.2794870437719883,0.9034054487179487,0.903363437999684,0.9999668471360987,0.5741726809501648,0.8511,0.8519949435155268,0.0
27,0.2728752203476735,0.9047876602564102,0.9047728445559844,0.999966431393932,0.6630540557861329,0.8492,0.8504068136734115,0.0
28,0.26922452883460585,0.9058293269230769,0.9057640517285067,0.9999665080585796,0.4432222356796265,0.8645,0.8640684479876599,0.0
29,0.25905639769939276,0.9097355769230769,0.9096904691823123,0.9999666900480244,0.5553186401367187,0.8555,0.8560824956053974,0.0
30,0.25267459912559925,0.9114182692307692,0.9113848965369209,0.9999664215924834,0.5750841166496277,0.8543,0.8549925385883597,0.0
31,0.2415848554709019,0.9159054487179488,0.9158782504099374,0.9999667418738136,0.41507777347564695,0.8773,0.8769692747015222,0.0
32,0.23621360514408501,0.9179086538461538,0.9178840609649852,0.9999668035249937,0.5597431895256042,0.8553,0.8563001958706492,0.0
33,0.23039282556527702,0.9188301282051282,0.9188046193425521,0.9999666061011051,0.5859710372924805,0.8595,0.8598515357909247,0.0
34,0.22336520369236285,0.9212139423076923,0.9211956439870704,0.9999668556530322,0.640387905883789,0.8598,0.8606158201622731,0.0
35,0.21987008389372092,0.9233373397435898,0.9233106331424631,0.9999665759518859,0.5395411036491394,0.8649,0.8653412079260935,0.0
36,0.20533146837200875,0.9282251602564102,0.9282227701941732,0.9999668414899444,0.44181051239967345,0.8741,0.874241811949908,0.0
37,0.20075686631294398,0.9296073717948717,0.9295795710553133,0.9999665785837979,0.5845424277782441,0.8612,0.8619310971804,0.0
38,0.19518653089419388,0.9327524038461539,0.9327594846056512,0.9999667696302355,1.2116471925735475,0.8256,0.8283185146210208,0.0
39,0.1926295589751158,0.9329927884615384,0.9329859096313038,0.9999669346158503,0.483489678478241,0.8642,0.8648307434436271,0.0
40,0.18737458229447024,0.9348758012820513,0.934870512852242,0.9999668080044045,0.8967167750358581,0.8442,0.8460481750167596,0.0
41,0.18061917177759684,0.93671875,0.9366910747983722,0.9999665780348992,0.665013791847229,0.8499,0.8504604579497912,0.0
42,0.17310356631492957,0.9395232371794872,0.939517989052668,0.9999669269775112,0.4478158052444458,0.8719,0.8719589759326178,0.0
43,0.1708550870514069,0.9408453525641025,0.9408328123339642,0.9999667235392836,0.7085818147659302,0.842,0.844322628223934,0.0
