backbone,dataset,dropout_p,noise_std,erasure,accuracy,f1,fr_accuracy,redundancy,learnable_A,aux_rec_loss,lambda_rec,no_nncl,final_eval_loss,seed,epochs,batch_size,warmup_epochs
resnet50,cifar10,0.2,0.05,0.0,0.8931,0.8930372687865882,1.0,0.25,False,False,1.0,True,0.5989290452957153,42,120,128,5
resnet50,cifar10,0.2,0.05,0.1,0.893,0.8929400300774232,1.0,0.25,False,False,1.0,True,0.6018894538879395,42,120,128,5
resnet50,cifar10,0.2,0.05,0.2,0.8916,0.8915326181330083,1.0,0.25,False,False,1.0,True,0.6064980512619018,42,120,128,5
resnet50,cifar10,0.2,0.05,0.3,0.8914,0.8913860113746217,1.0,0.25,False,False,1.0,True,0.6003557621955872,42,120,128,5
resnet50,cifar10,0.2,0.05,0.4,0.8911,0.8909907531221279,1.0,0.25,False,False,1.0,True,0.5798532658576966,42,120,128,5
resnet50,cifar10,0.2,0.05,0.5,0.8888,0.8887358057470868,1.0,0.25,False,False,1.0,True,0.5742344459533691,42,120,128,5
resnet50,cifar10,0.2,0.05,0.6,0.8863,0.8861526193876854,1.0,0.25,False,False,1.0,True,0.5815362498283386,42,120,128,5
