backbone,dataset,dropout_p,noise_std,erasure,accuracy,f1,fr_accuracy,redundancy,learnable_A,aux_rec_loss,lambda_rec,no_nncl,final_eval_loss,seed,epochs,batch_size,warmup_epochs
vit_base_patch16_224,cifar10,0.2,0.05,0.0,0.9773,0.9772829854472767,1.0,0.5,True,True,1.0,False,0.15553505874983967,42,120,128,5
vit_base_patch16_224,cifar10,0.2,0.05,0.1,0.9773,0.9772829854472767,0.999984096580978,0.5,True,True,1.0,False,0.15553506171815099,42,120,128,5
vit_base_patch16_224,cifar10,0.2,0.05,0.2,0.9773,0.9772829854472767,0.9999844069715814,0.5,True,True,1.0,False,0.15553507908657194,42,120,128,5
vit_base_patch16_224,cifar10,0.2,0.05,0.3,0.9773,0.9772829854472767,0.999984474163951,0.5,True,True,1.0,False,0.15553512779325246,42,120,128,5
vit_base_patch16_224,cifar10,0.2,0.05,0.4,0.9773,0.9772829854472767,0.9999845609411442,0.5,True,True,1.0,False,0.1555351459722966,42,120,128,5
vit_base_patch16_224,cifar10,0.2,0.05,0.5,0.9773,0.9772829854472767,0.9999844889698853,0.5,True,True,1.0,False,0.15553520706370472,42,120,128,5
vit_base_patch16_224,cifar10,0.2,0.05,0.6,0.9773,0.9772829854472767,0.9999843401432466,0.5,True,True,1.0,False,0.15553530349507927,42,120,128,5
