backbone,dataset,dropout_p,noise_std,erasure,accuracy,f1,fr_accuracy,redundancy,learnable_A,aux_rec_loss,lambda_rec,no_nncl,final_eval_loss,seed,epochs,batch_size,warmup_epochs
resnet50,cifar10,0.2,0.05,0.0,0.8822,0.8817085712480803,0.0,0.5,True,True,1.0,False,0.4643255006790161,42,120,128,5
resnet50,cifar10,0.2,0.05,0.2,0.8822,0.8817085712480803,0.9999728421896973,0.5,True,True,1.0,False,0.5569285381317138,42,120,128,5
resnet50,cifar10,0.2,0.05,0.4,0.8822,0.8817085712480803,0.9999723775182846,0.5,True,True,1.0,False,0.6497827558517456,42,120,128,5
