backbone,dataset,dropout_p,noise_std,erasure,accuracy,f1,fr_accuracy,redundancy,learnable_A,aux_rec_loss,lambda_rec,no_nncl,final_eval_loss,seed,epochs,batch_size,warmup_epochs
resnet50,cifar10,0.2,0.05,0.0,0.8721,0.8725854944923739,0.0,0.5,True,True,1.0,False,0.6048998277664185,42,120,128,5
resnet50,cifar10,0.2,0.05,0.2,0.8721,0.8725854944923739,0.9999715613925826,0.5,True,True,1.0,False,0.7255262290954589,42,120,128,5
resnet50,cifar10,0.2,0.05,0.4,0.8721,0.8725854944923739,0.9999713108291324,0.5,True,True,1.0,False,0.846509055519104,42,120,128,5
