backbone,dataset,dropout_p,noise_std,erasure,accuracy,f1,fr_accuracy,redundancy,learnable_A,aux_rec_loss,lambda_rec,no_nncl,final_eval_loss,seed,epochs,batch_size,warmup_epochs
efficientnet_b0,cifar100,0.2,0.05,0.0,0.5742,0.5719943887722354,0.0,0.5,False,True,1.0,False,1.8556178867340087,42,120,128,5
efficientnet_b0,cifar100,0.2,0.05,0.1,0.5742,0.5719943887722354,0.9999679848357423,0.5,False,True,1.0,False,2.039481056976318,42,120,128,5
efficientnet_b0,cifar100,0.2,0.05,0.2,0.5742,0.5719943887722354,0.9999687025147123,0.5,False,True,1.0,False,2.2253146697998045,42,120,128,5
efficientnet_b0,cifar100,0.2,0.05,0.3,0.5742,0.5719943887722354,0.9999689282252756,0.5,False,True,1.0,False,2.410188677597046,42,120,128,5
efficientnet_b0,cifar100,0.2,0.05,0.4,0.5742,0.5719943887722354,0.9999689867807098,0.5,False,True,1.0,False,2.5958745193481447,42,120,128,5
efficientnet_b0,cifar100,0.2,0.05,0.5,0.5742,0.5719943887722354,0.9999689811815692,0.5,False,True,1.0,False,2.7808508697509766,42,120,128,5
efficientnet_b0,cifar100,0.2,0.05,0.6,0.5742,0.5719943887722354,0.9999687384817016,0.5,False,True,1.0,False,2.9665283584594726,42,120,128,5
