backbone,dataset,dropout_p,noise_std,erasure,accuracy,f1,fr_accuracy,redundancy,learnable_A,aux_rec_loss,lambda_rec,no_nncl,final_eval_loss,seed,epochs,batch_size,warmup_epochs
vit_base_patch16_224,cifar10,0.2,0.05,0.0,0.9756,0.9755824703452621,1.0,0.5,False,True,1.0,False,0.15741455299595836,42,120,128,5
vit_base_patch16_224,cifar10,0.2,0.05,0.1,0.9756,0.9755824703452621,0.9999839744992054,0.5,False,True,1.0,False,0.15741455497185233,42,120,128,5
vit_base_patch16_224,cifar10,0.2,0.05,0.2,0.9756,0.9755824703452621,0.9999842694809383,0.5,False,True,1.0,False,0.1574145730022574,42,120,128,5
vit_base_patch16_224,cifar10,0.2,0.05,0.3,0.9756,0.9755824703452621,0.9999843976642537,0.5,False,True,1.0,False,0.15741460860709194,42,120,128,5
vit_base_patch16_224,cifar10,0.2,0.05,0.4,0.9756,0.9755824703452621,0.9999845237600338,0.5,False,True,1.0,False,0.15741460564176085,42,120,128,5
vit_base_patch16_224,cifar10,0.2,0.05,0.5,0.9756,0.9755824703452621,0.9999845479868429,0.5,False,True,1.0,False,0.15741463648716453,42,120,128,5
vit_base_patch16_224,cifar10,0.2,0.05,0.6,0.9756,0.9755824703452621,0.9999845217418127,0.5,False,True,1.0,False,0.15741469300596508,42,120,128,5
