backbone,dataset,dropout_p,noise_std,erasure,accuracy,f1,fr_accuracy,redundancy,learnable_A,aux_rec_loss,lambda_rec,no_nncl,final_eval_loss,seed,epochs,batch_size,warmup_epochs
resnet50,cifar10,0.2,0.05,0.0,0.8916,0.8913191026899433,0.0,0.5,False,True,1.0,False,0.4818298194885254,42,120,128,5
resnet50,cifar10,0.2,0.05,0.1,0.8916,0.8913191026899433,0.9999666407427896,0.5,False,True,1.0,False,0.5297752616882324,42,120,128,5
resnet50,cifar10,0.2,0.05,0.2,0.8916,0.8913191026899433,0.9999702923614264,0.5,False,True,1.0,False,0.5779067554473877,42,120,128,5
resnet50,cifar10,0.2,0.05,0.3,0.8916,0.8913191026899433,0.9999711000292252,0.5,False,True,1.0,False,0.6261018522262574,42,120,128,5
resnet50,cifar10,0.2,0.05,0.4,0.8916,0.8913191026899433,0.9999711384924531,0.5,False,True,1.0,False,0.6742860019683838,42,120,128,5
resnet50,cifar10,0.2,0.05,0.5,0.8916,0.8913191026899433,0.9999711647769581,0.5,False,True,1.0,False,0.7223812643051147,42,120,128,5
resnet50,cifar10,0.2,0.05,0.6,0.8916,0.8913191026899433,0.9999718161329169,0.5,False,True,1.0,False,0.7705886991500854,42,120,128,5
